session_id,phase,issue,detail
session-20260302-004954-44fa,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260302-010721-f35d,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260302-130453-4a87,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260307-130534-a093,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260307-140450-2d08,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260308-013221-7d56,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260308-073956-c0d9,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260308-124023-e4c5,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260309-000620-e5a8,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260309-121304-e6c6,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260309-230141-f307,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260310-093958-b9fd,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260310-172135-69e8,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260311-014535-cf0f,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260311-122757-1663,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260312-011658-16a7,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260312-151414-54aa,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260312-192804-7f81,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260313-000940-00bd,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260313-122901-8139,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260314-010741-b9c2,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260314-101620-793b,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260315-020605-404c,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260315-130337-5272,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260316-002347-d4bf,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260317-015519-83a8,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260317-111221-7b07,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
session-20260318-112731-fe15,phase4a,per_persona_shorter_than_proposals,per_persona=0 proposals=3
